source	source_number	source_name	target	target_number	target_name	distance	line_number
218	1502	顺义	219	1503	石门	3	15
219	1503	石门	220	1504	南法信	3	15
220	1504	南法信	221	1505	后沙峪	5	15
221	1505	后沙峪	222	1506	花梨坎	4	15
222	1506	花梨坎	223	1507	国展	3	15
223	1507	国展	224	1508	孙河	4	15
224	1508	孙河	225	1509	马泉营	4	15
225	1509	马泉营	226	1510	崔各庄	3	15
226	1510	崔各庄	227	1511	望京	5	15
227	1511	望京	228	1512	望京西	2	15
218	1502	顺义	217	1501	俸伯	2	15
219	1503	石门	218	1502	顺义	3	15
220	1504	南法信	219	1503	石门	3	15
221	1505	后沙峪	220	1504	南法信	5	15
222	1506	花梨坎	221	1505	后沙峪	4	15
223	1507	国展	222	1506	花梨坎	3	15
224	1508	孙河	223	1507	国展	4	15
225	1509	马泉营	224	1508	孙河	4	15
226	1510	崔各庄	225	1509	马泉营	3	15
227	1511	望京	226	1510	崔各庄	5	15
228	1512	望京西	227	1511	望京	2	15
229	2101	四惠	230	2102	四惠东	3	BT
230	2102	四惠东	231	2103	高碑店	2	BT
231	2103	高碑店	232	2104	传媒大学	3	BT
232	2104	传媒大学	233	2105	双桥	3	BT
233	2105	双桥	234	2106	管庄	3	BT
234	2106	管庄	235	2107	八里桥	3	BT
235	2107	八里桥	236	2108	北苑	3	BT
236	2108	北苑	237	2109	果园	3	BT
237	2109	果园	238	2110	九棵树	2	BT
238	2110	九棵树	239	2111	梨园	3	BT
239	2111	梨园	240	2112	临河里	2	BT
240	2112	临河里	241	2113	土桥	2	BT
230	2102	四惠东	229	2101	四惠	3	BT
231	2103	高碑店	230	2102	四惠东	2	BT
232	2104	传媒大学	231	2103	高碑店	3	BT
233	2105	双桥	232	2104	传媒大学	3	BT
234	2106	管庄	233	2105	双桥	3	BT
235	2107	八里桥	234	2106	管庄	3	BT
236	2108	北苑	235	2107	八里桥	3	BT
237	2109	果园	236	2108	北苑	3	BT
238	2110	九棵树	237	2109	果园	2	BT
239	2111	梨园	238	2110	九棵树	3	BT
240	2112	临河里	239	2111	梨园	2	BT
241	2113	土桥	240	2112	临河里	2	BT
242	2201	西二旗	243	2202	生命科学园	5	CP
243	2202	生命科学园	244	2203	朱辛庄	3	CP
244	2203	朱辛庄	245	2204	巩华城	5	CP
245	2204	巩华城	246	2205	沙河	3	CP
246	2205	沙河	247	2206	沙河高教园	3	CP
247	2206	沙河高教园	248	2207	南邵	5	CP
243	2202	生命科学园	242	2201	西二旗	5	CP
244	2203	朱辛庄	243	2202	生命科学园	3	CP
245	2204	巩华城	244	2203	朱辛庄	5	CP
246	2205	沙河	245	2204	巩华城	3	CP
247	2206	沙河高教园	246	2205	沙河	3	CP
248	2207	南邵	247	2206	沙河高教园	5	CP
249	2301	宋家庄	250	2302	肖村	3	YZ
250	2302	肖村	251	2303	小红门	2	YZ
251	2303	小红门	252	2304	旧宫	4	YZ
252	2304	旧宫	253	2305	亦庄桥	2	YZ
253	2305	亦庄桥	254	2306	亦庄文化园	2	YZ
254	2306	亦庄文化园	255	2307	万源街	3	YZ
255	2307	万源街	256	2308	荣京东街	2	YZ
256	2308	荣京东街	257	2309	荣昌东街	2	YZ
257	2309	荣昌东街	258	2310	同济南路	4	YZ
258	2310	同济南路	259	2311	经海路	3	YZ
259	2311	经海路	260	2312	次渠南	2	YZ
260	2312	次渠南	261	2313	次渠	2	YZ
250	2302	肖村	249	2301	宋家庄	3	YZ
251	2303	小红门	250	2302	肖村	2	YZ
252	2304	旧宫	251	2303	小红门	4	YZ
253	2305	亦庄桥	252	2304	旧宫	2	YZ
254	2306	亦庄文化园	253	2305	亦庄桥	2	YZ
255	2307	万源街	254	2306	亦庄文化园	3	YZ
256	2308	荣京东街	255	2307	万源街	2	YZ
257	2309	荣昌东街	256	2308	荣京东街	2	YZ
258	2310	同济南路	257	2309	荣昌东街	4	YZ
259	2311	经海路	258	2310	同济南路	3	YZ
260	2312	次渠南	259	2311	经海路	2	YZ
261	2313	次渠	260	2312	次渠南	2	YZ
262	2401	郭公庄	263	2402	大葆台	2	FS
